ID,Body,Team,Accessories,Jersey,Hair,Role,Number,Dunks,Shooting,Playmaking,Defense,Image url,Title,Description,URL,Overall
33,Human I,San Diego Keepers,None,Away,Brown Moptop,Player,33,81,65,78,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/33.png,BALLER #33,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//33,74.5
34,Human III,Helena Pronghorns,None,Away,Spiked,Player,45,83,89,94,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/34.png,BALLER #34,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//34,88
35,Human V,Iowa City Rattlesnakes,None,Away,Blonde Crewcut,Player,11,86,85,82,69,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/35.png,BALLER #35,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//35,80.5
36,Human II,Portland Bats,None,Away,Shaved,Player,80,80,90,81,89,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/36.png,BALLER #36,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//36,85
37,Human I,Helena Pronghorns,None,Away,Crazy Blue,Player,98,76,92,85,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/37.png,BALLER #37,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//37,84.5
38,Human II,Alaska Whales,None,Away,Blonde Short,Player,11,81,80,74,60,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/38.png,BALLER #38,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//38,73.75
39,Human IV,Alaska Whales,None,Away,Brown Short,Player,40,81,84,94,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/39.png,BALLER #39,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//39,82.75
40,Human III,San Diego Keepers,None,Away,Cheetah,Player,48,81,94,94,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/40.png,BALLER #40,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//40,86
41,Human V,Las Vegas Scorpions,None,Away,Light Brown Short,Player,29,72,69,89,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/41.png,BALLER #41,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//41,78.25
42,Human I,Iowa City Rattlesnakes,None,Away,Black Short,Player,51,86,83,80,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/42.png,BALLER #42,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//42,81.75
43,Human I,Alaska Whales,None,Away,Brown Taper,Player,13,97,81,81,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/43.png,BALLER #43,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//43,85.25
44,Human V,Boulder Elks,None,Away,Black Taper,Player,86,76,68,75,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/44.png,BALLER #44,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//44,73
45,Human I,Boulder Elks,None,Away,Brown Short,Player,21,78,76,74,67,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/45.png,BALLER #45,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//45,73.75
46,Human IV,Portland Bats,None,Away,Black Moptop,Player,24,89,85,75,89,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/46.png,BALLER #46,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//46,84.5
47,Human V,Las Vegas Scorpions,None,Away,Brown Short,Player,87,72,72,80,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/47.png,BALLER #47,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//47,78.5
48,Human III,Helena Pronghorns,None,Away,Black Short,Player,84,96,85,81,94,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/48.png,BALLER #48,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//48,89
49,Human V,Alaska Whales,None,Away,Striped,Player,70,85,76,74,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/49.png,BALLER #49,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//49,81.25
50,Human I,Boulder Elks,None,Away,Black Taper,Player,34,81,75,66,91,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/50.png,BALLER #50,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//50,78.25
51,Human V,Portland Bats,None,Away,Afro,Player,90,63,80,88,88,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/51.png,BALLER #51,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//51,79.75
52,Human III,Alaska Whales,None,Away,Blonde Short,Player,79,65,68,78,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/52.png,BALLER #52,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//52,73.5
53,Human V,Tallahassee Tarantulas,None,Away,Crazy Orange,Player,42,76,83,78,84,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/53.png,BALLER #53,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//53,80.25
54,Human IV,Las Vegas Scorpions,None,Away,Black Pompadour,Player,81,83,73,77,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/54.png,BALLER #54,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//54,79.75
55,Human III,Portland Bats,None,Away,Spiked,Player,55,65,85,81,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/55.png,BALLER #55,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//55,77.75
56,Human III,Helena Pronghorns,None,Away,Bedhead,Player,55,70,77,97,69,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/56.png,BALLER #56,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//56,78.25
57,Human I,San Diego Keepers,Armband Headband,Away,Spiked,Player,7,81,76,97,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/57.png,BALLER #57,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//57,84.75
58,Human IV,Helena Pronghorns,None,Away,Shaved,Player,3,74,93,78,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/58.png,BALLER #58,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//58,80.75
59,Human IV,Boulder Elks,None,Away,Spiked,Player,93,80,68,78,91,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/59.png,BALLER #59,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//59,79.25
60,Human II,Alaska Whales,None,Away,Brown Pompadour,Player,66,88,78,81,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/60.png,BALLER #60,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//60,84.25
61,Human IV,Tallahassee Tarantulas,None,Away,Red Crew,Player,70,81,74,66,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/61.png,BALLER #61,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//61,75.25
62,Human V,Boulder Elks,None,Away,Blonde Crewcut,Player,14,90,90,77,91,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/62.png,BALLER #62,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//62,87
63,Human I,Boulder Elks,None,Away,Crazy Purple,Player,32,82,92,69,60,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/63.png,BALLER #63,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//63,75.75
64,Human IV,Tallahassee Tarantulas,None,Away,Very Thin,Player,26,74,70,66,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/64.png,BALLER #64,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//64,75
65,Human II,Alaska Whales,None,Away,Blonde Short,Player,9,88,72,67,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/65.png,BALLER #65,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//65,78.25
66,Human III,Helena Pronghorns,None,Away,Purple Cowlick,Player,53,74,70,96,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/66.png,BALLER #66,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//66,78.75
67,Human II,Iowa City Rattlesnakes,None,Away,Blonde Crewcut,Player,39,63,73,74,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/67.png,BALLER #67,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//67,71
68,Human V,Las Vegas Scorpions,None,Away,Very Thin,Player,88,74,76,76,93,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/68.png,BALLER #68,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//68,79.75
69,Human I,Portland Bats,Armband Headband,Away,Black Taper,Player,41,82,83,82,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/69.png,BALLER #69,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//69,79.25
70,Human V,Alaska Whales,None,Away,Shaved,Player,34,72,76,81,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/70.png,BALLER #70,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//70,74.75
71,Human IV,Las Vegas Scorpions,None,Away,Striped,Player,69,77,83,81,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/71.png,BALLER #71,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//71,81.75
72,Human I,Alaska Whales,None,Away,Red Crew,Player,28,82,83,74,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/72.png,BALLER #72,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//72,81.25
73,Human III,San Diego Keepers,None,Away,Black Pompadour,Player,68,74,94,89,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/73.png,BALLER #73,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//73,82.25
74,Human V,Tallahassee Tarantulas,None,Away,Light Brown Short,Player,80,90,90,73,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/74.png,BALLER #74,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//74,81.75
75,Human I,Boulder Elks,None,Away,Brown Moptop,Player,68,80,76,97,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/75.png,BALLER #75,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//75,84
76,Human I,Helena Pronghorns,None,Away,Afro,Player,55,78,85,72,63,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/76.png,BALLER #76,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//76,74.5
77,Human I,Tallahassee Tarantulas,None,Away,Striped,Player,96,77,85,78,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/77.png,BALLER #77,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//77,78.75
78,Human II,Alaska Whales,None,Away,Light Brown Short,Player,58,94,81,65,68,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/78.png,BALLER #78,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//78,77
79,Human III,Alaska Whales,None,Away,Brown Pompadour,Player,1,84,81,76,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/79.png,BALLER #79,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//79,78.25
80,Human III,Iowa City Rattlesnakes,None,Away,Red Crew,Player,77,92,75,76,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/80.png,BALLER #80,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//80,78.25
81,Human III,Helena Pronghorns,Armband Headband,Away,Blonde Short,Player,83,74,94,86,84,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/81.png,BALLER #81,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//81,84.5
82,Human III,San Diego Keepers,None,Away,Blonde Short,Player,45,88,77,85,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/82.png,BALLER #82,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//82,82
83,Human II,Tallahassee Tarantulas,None,Away,Thinning,Player,38,90,80,91,65,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/83.png,BALLER #83,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//83,81.5
84,Human I,Las Vegas Scorpions,None,Away,Brown Taper,Player,1,76,72,85,69,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/84.png,BALLER #84,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//84,75.5
85,Human IV,San Diego Keepers,None,Away,Brown Short,Player,39,90,90,77,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/85.png,BALLER #85,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//85,82.75
86,Human V,Las Vegas Scorpions,None,Away,Brown Pompadour,Player,95,75,80,80,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/86.png,BALLER #86,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//86,80
87,Human IV,Boulder Elks,Armband Headband,Away,Black Short,Player,25,78,69,82,89,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/87.png,BALLER #87,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//87,79.5
88,Human IV,Helena Pronghorns,None,Away,Brown Taper,Player,89,66,74,74,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/88.png,BALLER #88,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//88,74.25
89,Human I,San Diego Keepers,None,Away,Striped,Player,70,70,81,90,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/89.png,BALLER #89,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//89,79.5
90,Human V,Portland Bats,None,Away,Brown Pompadour,Player,52,83,82,76,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/90.png,BALLER #90,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//90,77.75
91,Human III,San Diego Keepers,None,Away,Black Taper,Player,62,72,84,90,66,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/91.png,BALLER #91,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//91,78
92,Human II,San Diego Keepers,None,Away,Black Taper,Player,64,86,78,83,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/92.png,BALLER #92,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//92,79.25
